team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2012 Alabama,Trevor Releford,Levi Randolph,Andrew Steele,Nick Jacobs,JaMychal Green,11,18.7,22.9,7.9,13.2
2012 Baylor,Pierre Jackson,A.J. Walton,Brady Heslip,Quincy Acy,Perry Jones III,15.3,16.8,23.8,14.6,9.3
2012 Belmont,Kerron Johnson,Drew Hanlen,Ian Clark,Blake Jenkins,Mick Hedgepeth,13.8,12.6,19.9,17.3,2.6
2012 BYU,Matt Carlino,Brock Zylstra,Charles Abouo,Noah Hartsock,Brandon Davies,12.3,18.2,21.1,10.9,11.7
2012 California,Justin Cobbs,Jorge Gutierrez,Allen Crabbe,David Kravish,Harper Kamp,15.5,19.2,24.4,13.7,9.5
2012 Cincinnati,Cashmere Wright,Dion Dixon,Jaquon Parker,Sean Kilpatrick,Yancy Gates,15.7,18.9,23.7,16.4,11.3
2012 Colorado,Spencer Dinwiddie,Nate Tomlinson,Carlon Brown,Andre Roberson,Austin Dufault,11.3,16.6,19.1,10.7,9.5
2012 Colorado St.,Dorian Green,Kaipo Sabas,Wes Eikmeier,Pierce Hornung,Will Bell,14.2,12,13.4,13.3,3.5
2012 Connecticut,Shabazz Napier,Ryan Boatright,Jeremy Lamb,Roscoe Smith,Andre Drummond,14,16.8,18.8,11.9,5.4
2012 Creighton,Antoine Young,Jahenns Manigat,Grant Gibbs,Doug McDermott,Gregory Echenique,17,12.6,22.3,21.3,12.9
2012 Davidson,Nik Cochran,JP Kuhlman,Chris Czerapowicz,De'Mon Brooks,Jake Cohen,14.6,13.3,22.4,19.6,8.4
2012 Detroit Mercy,Ray McCallum,Jason Calliste,Chase Simon,Doug Anderson,LaMarcus Lowe,10.8,12.4,7.4,7.2,1.9
2012 Duke,Austin Rivers,Seth Curry,Tyler Thornton,Mason Plumlee,Miles Plumlee,13.7,15.5,23.3,14.7,9.6
2012 Florida,Erving Walker,Kenny Boynton,Bradley Beal,Erik Murphy,Patric Young,20.5,15.3,30.4,26.2,7.8
2012 Florida St.,Luke Loucks,Deividas Dulkys,Michael Snaer,Xavier Gibson,Bernard James,9.7,17.5,24.1,9,10.1
2012 Georgetown,Jason Clark,Greg Whittington,Hollis Thompson,Otto Porter,Henry Sims,13,19.8,26.8,12.4,14.4
2012 Gonzaga,Kevin Pangos,Gary Bell Jr.,Guy Edi,Elias Harris,Robert Sacre,12.9,15.7,23.2,15.2,10.8
2012 Harvard,Brandyn Curry,Oliver McNally,Laurent Rivard,Kyle Casey,Keith Wright,11.3,17.4,19.6,9.5,8
2012 Indiana,Jordan Hulls,Will Sheehey,Victor Oladipo,Christian Watford,Cody Zeller,17.4,16.2,30.5,23.1,10.7
2012 Iona,Scott Machado,Lamont Jones,Sean Armand,Randy Dezouvre,Mike Glover,15.5,12.5,19.1,18.9,-0.1
2012 Iowa St.,Scott Christopherson,Chris Allen,Chris Babb,Melvin Ejim,Royce White,13.2,16.8,18.3,11.7,7
2012 Kansas,Tyshawn Taylor,Elijah Johnson,Travis Releford,Thomas Robinson,Jeff Withey,17.8,21.2,35.3,18.8,18.3
2012 Kansas St.,Angel Rodriguez,Will Spradling,Rodney McGruder,Jamar Samuels,Jordan Henriquez,12,17,23.1,10.6,12.8
2012 Kentucky,Marquis Teague,Doron Lamb,Michael Kidd-Gilchrist,Anthony Davis,Terrence Jones,19.9,22.6,40.7,24,18.7
2012 Lamar,Anthony Miles,Mike James,Devon Lamb,Brandon Davis,Stan Brown,12,13.2,10.9,10.9,3.7
2012 Lehigh,Mackey McKnight,C.J. McCollum,Jordan Hamilton,John Adams,Gabe Knutson,11.3,12.9,15,10,3.6
2012 LIU,Jason Brickman,C.J. Garner,Michael Culpo,Jamal Olasewere,Julian Boyd,11.7,11,6.4,11.2,-3.6
