SEASON,Team,PPP,PPSA,EFG%,FT Rate,3P Rate,% PTS FT,% PTS 2P,% PTS 3P,ORB%,DRB%,TRB%,AST%,TOV%,AST/TOV,STL%,BLK%,PF%,her_hoops_id
2024,South Carolina,0.66,0.8,0.367,0.133,0.291,0.168,0.534,0.297,0.281,0.595,0.422,0.496,0.181,0.66,0.073,0.063,0.185,2024 South Carolina
2024,Iowa,0.82,0.97,0.459,0.146,0.347,0.148,0.524,0.329,0.269,0.688,0.459,0.548,0.163,1.02,0.085,0.085,0.219,2024 Iowa
2024,Texas,0.71,0.94,0.434,0.165,0.281,0.183,0.536,0.281,0.275,0.58,0.425,0.545,0.241,0.58,0.077,0.047,0.235,2024 Texas
2024,Gonzaga,0.77,0.96,0.448,0.134,0.312,0.152,0.572,0.276,0.274,0.611,0.436,0.541,0.197,0.8,0.079,0.06,0.199,2024 Gonzaga
2024,UConn,0.71,0.89,0.415,0.139,0.343,0.155,0.516,0.329,0.275,0.691,0.464,0.553,0.205,0.71,0.066,0.056,0.199,2024 UConn
2024,LSU,0.71,0.9,0.421,0.157,0.316,0.167,0.522,0.311,0.286,0.566,0.42,0.481,0.218,0.57,0.082,0.071,0.236,2024 LSU
2024,NC State,0.73,0.87,0.411,0.1,0.306,0.125,0.568,0.305,0.25,0.708,0.467,0.486,0.16,0.86,0.075,0.082,0.215,2024 NC State
2024,Middle Tenn.,0.71,0.87,0.404,0.144,0.312,0.165,0.52,0.315,0.288,0.689,0.476,0.522,0.182,0.74,0.07,0.079,0.223,2024 Middle Tenn.
2024,Fairfield,0.7,0.91,0.413,0.185,0.286,0.212,0.52,0.267,0.285,0.669,0.469,0.534,0.231,0.57,0.096,0.069,0.207,2024 Fairfield
2024,Stanford,0.75,0.87,0.406,0.114,0.296,0.142,0.548,0.31,0.258,0.614,0.42,0.471,0.142,0.94,0.071,0.06,0.189,2024 Stanford
2024,UNLV,0.75,0.91,0.429,0.114,0.305,0.132,0.577,0.291,0.208,0.681,0.438,0.506,0.172,0.86,0.055,0.066,0.184,2024 UNLV
2024,Cleveland St.,0.75,0.95,0.444,0.152,0.342,0.159,0.513,0.328,0.281,0.678,0.47,0.626,0.208,0.83,0.088,0.085,0.238,2024 Cleveland St.
2024,Drake,0.82,1,0.473,0.117,0.311,0.127,0.554,0.318,0.249,0.682,0.445,0.539,0.178,0.95,0.097,0.096,0.215,2024 Drake
2024,Richmond,0.75,0.91,0.424,0.137,0.34,0.152,0.51,0.339,0.32,0.754,0.506,0.516,0.176,0.81,0.085,0.069,0.205,2024 Richmond
2024,Southern California,0.77,0.95,0.434,0.155,0.267,0.186,0.553,0.261,0.283,0.673,0.479,0.596,0.191,0.87,0.076,0.067,0.22,2024 Southern California
2024,Stony Brook,0.67,0.84,0.391,0.131,0.291,0.154,0.584,0.262,0.279,0.671,0.459,0.523,0.197,0.68,0.082,0.066,0.204,2024 Stony Brook
2024,California Baptist,0.78,0.95,0.443,0.187,0.384,0.178,0.47,0.352,0.272,0.742,0.499,0.634,0.183,0.95,0.076,0.091,0.196,2024 California Baptist
2024,Saint Joseph's,0.73,0.9,0.426,0.109,0.282,0.123,0.602,0.275,0.288,0.689,0.475,0.442,0.188,0.67,0.085,0.078,0.222,2024 Saint Joseph's
