Year,Team,G,win,loss,Win%,PTS,OPP PTS,Net PTS,Off Rtg,Def Rtg,Net Rtg,pace,her_hoops_id
2017,UConn,37,36,1,0.973,87.1,54.9,32.2,122.7,77.5,45.2,70.6,2017 UConn
2017,Mississippi St.,39,34,5,0.872,75.9,57.6,18.3,108.3,82.4,25.9,69.1,2017 Mississippi St.
2017,South Carolina,37,33,4,0.892,76.3,56.9,19.5,110.3,82.3,28,69.2,2017 South Carolina
2017,Notre Dame,37,33,4,0.892,80.1,62.3,17.8,112.6,87.8,24.8,70.8,2017 Notre Dame
2017,Baylor,37,33,4,0.892,89.5,56.3,33.2,119,75.6,43.4,74.6,2017 Baylor
2017,Maryland,35,32,3,0.914,89.3,64.5,24.8,118.5,85.3,33.2,75.4,2017 Maryland
2017,Stanford,38,32,6,0.842,71.7,56.5,15.2,104.2,82.7,21.5,68.1,2017 Stanford
2017,Oregon St.,36,31,5,0.861,65.6,54.4,11.3,99.9,82.5,17.4,65.4,2017 Oregon St.
2017,Washington,35,29,6,0.829,85,64,21,117.2,88.4,28.8,72.5,2017 Washington
2017,Louisville,37,29,8,0.784,74.6,61,13.6,104.2,85.3,18.9,70.8,2017 Louisville
2017,Quinnipiac,36,29,7,0.806,68.4,58.6,9.7,95.2,81.4,13.8,71.9,2017 Quinnipiac
2017,Duke,34,28,6,0.824,73.7,55.4,18.3,104.3,78.2,26.1,70.8,2017 Duke
2017,Florida St.,35,28,7,0.8,79,58.3,20.7,108.2,80.4,27.8,72.2,2017 Florida St.
2017,Michigan,37,28,9,0.757,76.9,61.8,15.1,106.7,86.5,20.2,71.1,2017 Michigan
2017,Ohio St.,35,28,7,0.8,85.7,71.5,14.2,108.4,91.5,16.9,78.3,2017 Ohio St.
2017,Bucknell,33,27,6,0.818,67.4,59,8.4,99.6,86.7,12.9,67.3,2017 Bucknell
2017,DePaul,35,27,8,0.771,80.7,67.7,12.9,106.3,89.3,17.1,75.6,2017 DePaul
2017,Drake,32,27,5,0.844,81.1,65.1,16,109.4,89.3,20,72.6,2017 Drake
2017,Western Ky.,34,27,7,0.794,75.1,61.9,13.1,112.1,92.5,19.5,66.5,2017 Western Ky.
2017,Green Bay,33,27,6,0.818,69.4,51.7,17.7,106.6,79.4,27.1,65.1,2017 Green Bay
2017,Elon,33,26,7,0.788,69.9,59.4,10.5,99.4,86,13.4,69.7,2017 Elon
2017,Belmont,32,26,6,0.813,77.3,65.7,11.6,110.1,93,17.1,70.1,2017 Belmont
2017,James Madison,35,26,9,0.743,70.2,61.2,9,98.7,85.9,12.8,70.5,2017 James Madison
2017,Gonzaga,33,26,7,0.788,72,58.3,13.7,103.5,83.3,20.2,69.8,2017 Gonzaga
2017,Texas,34,25,9,0.735,74,62.1,11.9,101.6,85.4,16.2,72.3,2017 Texas
2017,Saint Louis,34,25,9,0.735,73.1,61.5,11.6,103.5,87.2,16.4,70.3,2017 Saint Louis
2017,Marquette,33,25,8,0.758,78.8,70.2,8.6,108.2,95.6,12.6,72.9,2017 Marquette
2017,New Hampshire,31,25,6,0.806,61.4,55.5,5.9,92.6,83.8,8.8,66,2017 New Hampshire
2017,UCLA,34,25,9,0.735,74.1,63.8,10.4,102.6,88.2,14.3,72.3,2017 UCLA
2017,Little Rock,34,25,9,0.735,61.8,55.2,6.6,94.6,84.2,10.3,65.4,2017 Little Rock
2017,FGCU,33,24,9,0.727,71,57.1,13.9,101.4,81.8,19.6,69.1,2017 FGCU
2017,South Fla.,33,24,9,0.727,70.7,61.8,9,103.7,90.5,13.2,68.2,2017 South Fla.
2017,Temple,32,24,8,0.75,69.9,60.7,9.3,99.6,86.3,13.3,70,2017 Temple
2017,Rider,33,24,9,0.727,65.5,60.3,5.1,90.6,83.9,6.7,71.8,2017 Rider
2017,West Virginia,35,24,11,0.686,74,62.5,11.4,101.3,85.7,15.6,72.5,2017 West Virginia
2017,Western Ill.,31,24,7,0.774,77.7,68.9,8.8,104.9,92.3,12.6,73.8,2017 Western Ill.
2017,Miami (FL),33,24,9,0.727,72.1,63.2,8.9,99.9,88.1,11.8,71.7,2017 Miami (FL)
2017,Toledo,33,24,9,0.727,69.7,62.5,7.2,93.1,83,10.1,74.7,2017 Toledo
2017,UC Davis,32,24,8,0.75,68.2,61.3,6.9,98.6,87.7,10.9,69.6,2017 UC Davis
2017,Creighton,32,24,8,0.75,65.8,57.8,8,100,88.9,11.1,64.9,2017 Creighton
2017,Montana St.,30,23,7,0.767,72.1,66.2,5.9,96,87.9,8,74.2,2017 Montana St.
2017,NC State,32,23,9,0.719,71.2,59.2,12,102.2,85,17.1,69.1,2017 NC State
2017,Navy,33,23,10,0.697,65.7,60.1,5.6,94.6,86.6,8,68.6,2017 Navy
2017,South Dakota St.,32,23,9,0.719,71,60.9,10.1,103.2,88.6,14.6,68.3,2017 South Dakota St.
2017,Oklahoma,33,23,10,0.697,74,69.6,4.4,97,91.4,5.6,75.3,2017 Oklahoma
2017,Oregon,37,23,14,0.622,70.9,65.8,5.1,102.2,94.4,7.8,69.5,2017 Oregon
2017,Boise St.,31,23,8,0.742,67.9,63.7,4.2,95.1,89.8,5.3,70.6,2017 Boise St.
2017,Central Mich.,32,23,9,0.719,77.8,69.5,8.3,107.1,96.2,10.9,71.3,2017 Central Mich.
2017,Indiana,34,23,11,0.676,74.9,64.9,10.1,105.6,90.9,14.7,70.6,2017 Indiana
2017,Stetson,30,23,7,0.767,67.9,58.7,9.2,98.5,85.9,12.6,67.7,2017 Stetson
2017,Colorado St.,32,23,9,0.719,63.7,55.1,8.5,94.9,82.3,12.6,66.3,2017 Colorado St.
2017,Purdue,36,23,13,0.639,67.4,59.8,7.6,98.3,87.1,11.2,68.4,2017 Purdue
2017,Wright St.,32,23,9,0.719,67.5,61.9,5.6,97.6,88.9,8.7,69.3,2017 Wright St.
2017,Kansas St.,34,23,11,0.676,67.5,62.4,5,96.6,89.4,7.2,69.6,2017 Kansas St.
2017,UNI,32,23,9,0.719,66.8,58.3,8.4,98.5,85.5,13,66.9,2017 UNI
2017,Middle Tenn.,34,23,11,0.676,70,63.6,6.4,102.5,92.5,10,68.6,2017 Middle Tenn.
2017,Mercer,29,22,7,0.759,64.2,57.2,7,96.2,85,11.2,67,2017 Mercer
2017,Milwaukee,34,22,12,0.647,72.4,66.8,5.6,101.9,93.7,8.3,70.7,2017 Milwaukee
2017,Georgia Tech,37,22,15,0.595,68.7,65.6,3.1,94.3,89.5,4.8,71.6,2017 Georgia Tech
2017,IU Indy,31,22,9,0.71,65.2,57.7,7.5,99.5,88.6,10.9,64.3,2017 IU Indy
2017,Fordham,34,22,12,0.647,59.6,56.2,3.4,93.4,88.2,5.3,62.8,2017 Fordham
