torvik_id,team,adj_oe,adj_de,barthag,record,wins,games,efg%,efgd%,ftr,ftrd,tor,tord,orb%,drb%,raw_tempo,2p%,2p%d,3p%,3p%d,blk%,blked%,ast%,ast%d,3pr,3prd,adj_tempo,blank1,blank2,blank3,year,blank4,blank5,blank6,wab,ft%,ft%d
2022 UC Santa Barbara,UC Santa Barbara,103.336411,101.4600616,0.552488987,15–11,15,26,53.5,48.1,37.2,30.4,19.3,19.5,28.4,27.2,65.8,55,48.2,33.4,32,6.9,6.8,57,51,30,32.6,66.4,,,,2022,,,,-6.838977082,70.5,74
2022 Arkansas Pine Bluff,Arkansas Pine Bluff,96.78397621,118.8577193,0.086067448,5–24,5,29,46.6,55.5,33.6,34.6,19.5,18.7,24.8,36.3,68.9,48,56.1,29.8,36,6.2,10.7,48.7,53.8,40.5,29.4,68.4,,,,2022,,,,-17.43263861,70.9,72.8
2022 Toledo,Toledo,109.6012582,100.8833019,0.72175244,25–7,25,32,53.5,47,28.7,23.5,14.9,15.4,30.6,27.4,70.2,53.4,47.1,35.9,31.2,7.3,11,51.1,49.2,31.4,42,69.9,,,,2022,,,,-1.56882849,76,67.2
2022 Indiana,Indiana,107.9665439,90.51144747,0.883702434,20–13,20,33,51.3,45.6,33.5,30.6,17.3,17.4,26.9,25,67.9,51.4,43.4,33.9,32.6,14.4,7,57.4,48,31.8,40.2,68.2,,,,2022,,,,0.212485201,69.9,76.1
2022 Louisiana,Louisiana,100.292307,101.0372656,0.478736616,14–15,14,29,48.6,46.9,35.5,35.5,22,18.4,33.6,27.6,70.2,47,46.2,34.3,32.2,10.7,8.8,50.4,51.4,36.9,33.6,70.6,,,,2022,,,,-9.171040479,71.1,75
2022 Central Michigan,Central Michigan,94.87881629,110.0694792,0.153438844,7–23,7,30,47.8,53,30.5,36,19.6,16.6,25.4,31.4,68.8,45.5,53.6,34.1,34.8,9,9.6,49.7,53.9,40.1,42.3,68.5,,,,2022,,,,-16.09324444,69.2,70.5
2022 Brown,Brown,99.15497426,102.4491228,0.407129101,11–16,11,27,49.4,51.1,31.6,33.2,19.1,19.5,28.2,28.1,69.1,50.6,51.3,31.7,33.9,11.4,7.4,46.6,46.6,38.9,38.2,68.5,,,,2022,,,,-9.943055665,69.5,69.7
2022 Wright St.,Wright St.,104.2080317,106.8632988,0.428161989,20–13,20,33,52,51.2,31.1,26,17.9,18.4,31.3,30,69.2,53.2,51.6,33,33.7,7.5,6.7,50.3,41,32.5,34.2,69.6,,,,2022,,,,-8.396956633,76.6,71.3
2022 UC Irvine,UC Irvine,97.86391918,96.06892985,0.553021845,13–10,13,23,47.6,44.1,29.7,31.2,20.6,17.2,29.9,27.6,65,47.4,46,32.1,26.6,9.5,7,43.8,48,28.6,32.1,66,,,,2022,,,,-4.828922091,78,74.9
2022 Furman,Furman,112.8564448,101.817369,0.765623705,21–12,21,33,55.6,51.5,23.3,24.6,15.7,19.1,27.4,28.1,65.6,55,52.5,37.5,33.3,10.1,10.1,62,51.6,51.6,37,66,,,,2022,,,,-4.480671776,75.8,72.9
2022 UAB,UAB,111.1026937,98.06618437,0.807732284,25–7,25,32,52.9,47.9,29.5,31.5,16.3,21.4,33.4,27.4,70.1,50.6,47.5,38.3,32.4,11.4,8.7,44.2,45.9,32.7,37.1,69.9,,,,2022,,,,-0.108106059,73.9,71.1
2022 Tulane,Tulane,109.6505106,99.22091371,0.759404438,14–15,14,29,51.2,49.6,33.4,28.5,15,20.3,20.1,32.8,69.3,49,48.3,36.5,34.1,10,12.5,53.4,65.3,38.6,45.3,68.9,,,,2022,,,,-5.117106079,75.6,71.2
2022 FIU,FIU,96.57517746,105.0493083,0.27543035,13–17,13,30,49.9,50.2,24.6,31.4,20.1,18.5,27,29.8,68,49,50.2,34,33.4,10.8,9.9,52.8,53.6,46.2,39.7,67.6,,,,2022,,,,-12.00727915,70.8,72
2022 BYU,BYU,107.9662065,96.28898225,0.788572184,20–10,20,30,51.2,47.8,28.1,30.5,18.6,15.2,30.9,22.5,69.3,50.8,48.9,34.6,30.5,8.7,8.1,50.9,48.8,36.6,36.8,68.8,,,,2022,,,,0.326559875,73.1,68.1
2022 Illinois Chicago,Illinois Chicago,99.80809094,108.9806913,0.266765237,13–16,13,29,51.1,51.6,22.9,34.2,17.2,16.8,25,27.2,68.9,53.3,50,32.4,37.4,9.4,6.5,54.2,43.5,46.1,27.4,69.9,,,,2022,,,,-11.66973321,70.8,72.3
2022 Xavier,Xavier,110.528295,95.93571557,0.835939635,18–13,18,31,50.4,48.4,35.6,25.4,16.5,18.2,29.2,25.8,69.1,51.4,48,32.5,32.7,11.5,9.6,55.4,48.5,35.7,36.9,69.4,,,,2022,,,,-1.060455378,70.1,74.5
2022 Charlotte,Charlotte,104.9425929,106.4075582,0.460227668,17–14,17,31,52.9,52.6,28,26.5,17.2,16.9,22.7,25.6,66.6,53.6,51.7,34.5,36.2,8,9.2,55.4,46.7,39.8,36.3,66.4,,,,2022,,,,-7.42270109,79.2,76.8
2022 Canisius,Canisius,95.87615031,105.3278717,0.253271548,10–21,10,31,45.4,51.5,30.2,32.2,16.9,17.8,28,26.3,69.3,45.5,53.7,30.2,31.2,6.6,12.1,53.3,49.6,39.1,31.6,69.2,,,,2022,,,,-14.99236297,69.6,72.4
2022 Wake Forest,Wake Forest,111.3051387,95.30286916,0.856310506,23–9,23,32,56.2,47.5,32,28.7,18.8,17.4,27.1,26.2,70.9,58.7,46.7,35.2,32.7,9.8,7.6,52.8,49,42,36.1,71,,,,2022,,,,1.448397326,73.3,70.3
2022 Florida Atlantic,Florida Atlantic,105.1543921,101.7299287,0.594052404,16–14,16,30,53.6,50.5,29.6,32.3,19.8,19.3,31.2,26,68.4,54.4,47.8,35,37.3,8,8.9,49.2,43.4,42.7,33.4,68.1,,,,2022,,,,-8.065476405,71.7,69.8
2022 Northeastern,Northeastern,97.17260083,102.4198111,0.353246115,9–22,9,31,50.1,51.7,30.6,25.6,21.2,15.7,26.3,23.7,65.4,51.6,51.9,32,34.3,7.7,7.1,49.6,46.1,40.5,36.9,65.6,,,,2022,,,,-15.42939781,73.4,75.6
2022 Robert Morris,Robert Morris,98.72039122,111.8650091,0.191930386,7–24,7,31,50.9,53.1,28.2,28.9,20.8,16.9,28.2,32.2,67.5,51.6,51.9,32.9,36.9,9.9,9.3,48.2,54.4,31.8,35.8,67.8,,,,2022,,,,-18.72368787,76.1,72.2
2022 Seattle,Seattle,99.04566176,96.40023494,0.577210318,21–9,21,30,48.3,46.4,28.8,40.5,16.3,20.5,26,25.6,71.9,47.1,46,33.1,31.4,10.4,10.2,51.9,51.2,45.7,36.7,71.4,,,,2022,,,,-3.628070508,76.8,67.7
2022 Villanova,Villanova,117.1335795,92.97463962,0.934402186,26–7,26,33,52,47.5,30.5,25.1,15.5,18.8,30.9,28,64.2,50.3,48.2,35.9,31,7.1,10.9,49,50,46,43,63.6,,,,2022,,,,7.274158928,82.3,74.5
