team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2024 Connecticut,Tristen Newton,Cam Spencer,Stephon Castle,Alex Karaban,Donovan Clingan,23,19.5,47.1,31.2,19.5
2015 Kentucky,Andrew Harrison,Aaron Harrison,Trey Lyles,Willie Cauley-Stein,Karl-Anthony Towns,14.2,20.6,45,21.2,22.5
2015 Wisconsin,Bronson Koenig,Josh Gasser,Nigel Hayes,Sam Dekker,Frank Kaminsky,24.2,21.4,44.9,32.7,18.3
2024 Houston,Jamal Shead,L.J. Cryer,Emanuel Sharp,J'Wan Roberts,Ja'Vier Francis,17.8,21.9,44.7,21.9,22.6
2021 Gonzaga,Jalen Suggs,Andrew Nembhard,Joel Ayayi,Corey Kispert,Drew Timme,23.4,19.1,44.3,31,20.4
2019 Gonzaga,Josh Perkins,Zach Norvell Jr.,Corey Kispert,Rui Hachimura,Brandon Clarke,21,20.5,43.5,28.4,18.8
2019 Duke,Tre Jones,R.J. Barrett,Cam Reddish,Javin DeLaurier,Zion Williamson,18.5,21.6,41.4,22.3,13.9
2016 Michigan St.,Denzel Valentine,Bryn Forbes,Eron Harris,Deyonta Davis,Matt Costello,19.1,16.4,40.8,30,9.9
2018 Villanova,Jalen Brunson,Phil Booth,Mikal Bridges,Eric Paschall,Omari Spellman,22.6,18.2,40.6,28.7,12.9
2016 North Carolina,Joel Berry II,Marcus Paige,Justin Jackson,Brice Johnson,Kennedy Meeks,18.1,18.3,39.8,26.2,18.1
2015 Utah,Delon Wright,Brandon Taylor,Dakarai Tucker,Jordan Loveridge,Jakob Poeltl,16.2,19.3,39.3,23.2,17.8
2015 Duke,Tyus Jones,Quinn Cook,Matt Jones,Justise Winslow,Jahlil Okafor,19.9,19,38.2,26.2,12.6
2023 Houston,Jamal Shead,Marcus Sasser,Tramon Mark,J'Wan Roberts,Jarace Walker,17.5,22.2,38.2,20.7,19
2019 Virginia,Kihei Clark,Kyle Guy,Ty Jerome,De'Andre Hunter,Mamadi Diakite,18.7,20.6,37.9,22.1,20.2
2019 Michigan St.,Cassius Winston,Matt McQuaid,Aaron Henry,Kenny Goins,Xavier Tillman,17.6,18.6,37.7,21.3,16.4
2024 Auburn,Aden Holloway,Denver Jones,Chad Baker-Mazara,Jaylin Williams,Johni Broome,14.8,15.2,37.7,24.9,16.7
2017 Gonzaga,Nigel Williams-Goss,Josh Perkins,Jordan Matthews,Johnathan Williams,Przemek Karnowski,14.5,20.3,37.4,18.8,18.3
2017 North Carolina,Joel Berry II,Theo Pinson,Justin Jackson,Isaiah Hicks,Kennedy Meeks,18.2,17.7,37.4,23.8,14.3
2016 Villanova,Jalen Brunson,Ryan Arcidiacono,Josh Hart,Kris Jenkins,Daniel Ochefu,17.1,19.2,37.3,23.4,17.5
2015 North Carolina,Marcus Paige,J.P. Tokoto,Justin Jackson,Brice Johnson,Kennedy Meeks,16.2,18.3,37.1,24.1,15.8
2017 SMU,Shake Milton,Jarrey Foster,Sterling Brown,Semi Ojeleye,Ben Moore,22,21.2,37,24.4,19.8
