game_id,id,year,region,round,high_bracket_seed,high_bracket_team,high_team_id,low_bracket_seed,low_bracket_team,low_team_id,high_bracket_score,low_bracket_score,point_diff,point_total,win
20171101,1101,2017,East,First Round,1,Connecticut,2017 Connecticut,16,Albany,2017 Albany,116,55,61,171,1
20171108,1108,2017,East,First Round,8,Syracuse,2017 Syracuse,9,Iowa St.,2017 Iowa St.,85,65,20,150,1
20171106,1106,2017,East,First Round,5,Texas A&M,2017 Texas A&M,12,Penn,2017 Penn,63,61,2,124,1
20171104,1104,2017,East,First Round,4,UCLA,2017 UCLA,13,Boise St.,2017 Boise St.,83,56,27,139,1
20171103,1103,2017,East,First Round,6,West Virginia,2017 West Virginia,11,Elon,2017 Elon,75,62,13,137,1
20171105,1105,2017,East,First Round,3,Maryland,2017 Maryland,14,Bucknell,2017 Bucknell,103,61,42,164,1
20171107,1107,2017,East,First Round,7,Temple,2017 Temple,10,Oregon,2017 Oregon,70,71,-1,141,0
20171102,1102,2017,East,First Round,2,Duke,2017 Duke,15,Hampton,2017 Hampton,94,31,63,125,1
20172109,2109,2017,East,Second Round,1,Connecticut,2017 Connecticut,8,Syracuse,2017 Syracuse,94,64,30,158,1
20172110,2110,2017,East,Second Round,5,Texas A&M,2017 Texas A&M,4,UCLA,2017 UCLA,43,75,-32,118,0
20172111,2111,2017,East,Second Round,6,West Virginia,2017 West Virginia,3,Maryland,2017 Maryland,56,83,-27,139,0
20172112,2112,2017,East,Second Round,2,Duke,2017 Duke,2,Duke,2017 Duke,74,65,9,139,1
20173113,3113,2017,East,Sweet 16,1,Connecticut,2017 Connecticut,4,UCLA,2017 UCLA,86,71,15,157,1
20173114,3114,2017,East,Sweet 16,3,Maryland,2017 Maryland,10,Oregon,2017 Oregon,63,77,-14,140,0
20174115,4115,2017,East,Elite Eight,1,Connecticut,2017 Connecticut,10,Oregon,2017 Oregon,90,52,38,142,1
20171201,1201,2017,West,First Round,1,South Carolina,2017 South Carolina,16,UNC Asheville,2017 UNC Asheville,90,40,50,130,1
20171208,1208,2017,West,First Round,8,Arizona St.,2017 Arizona St.,9,Michigan St.,2017 Michigan St.,73,61,12,134,1
20171206,1206,2017,West,First Round,5,Marquette,2017 Marquette,12,Quinnipiac,2017 Quinnipiac,65,68,-3,133,0
20171204,1204,2017,West,First Round,4,Miami FL,2017 Miami FL,13,Florida Gulf Coast,2017 Florida Gulf Coast,62,60,2,122,1
20171203,1203,2017,West,First Round,6,Missouri,2017 Missouri,11,South Florida,2017 South Florida,66,64,2,130,1
20171205,1205,2017,West,First Round,3,Florida St.,2017 Florida St.,14,Western Illinois,2017 Western Illinois,87,66,21,153,1
20171207,1207,2017,West,First Round,7,Creighton,2017 Creighton,10,Toledo,2017 Toledo,76,49,27,125,1
20171202,1202,2017,West,First Round,2,Oregon St.,2017 Oregon St.,15,Long Beach St.,2017 Long Beach St.,56,55,1,111,1
20172209,2209,2017,West,Second Round,1,South Carolina,2017 South Carolina,8,Arizona St.,2017 Arizona St.,71,68,3,139,1
20172210,2210,2017,West,Second Round,12,Quinnipiac,2017 Quinnipiac,4,Miami FL,2017 Miami FL,85,78,7,163,1
20172211,2211,2017,West,Second Round,6,Missouri,2017 Missouri,3,Florida St.,2017 Florida St.,55,77,-22,132,0
20172212,2212,2017,West,Second Round,7,Creighton,2017 Creighton,2,Oregon St.,2017 Oregon St.,52,64,-12,116,0
20173213,3213,2017,West,Sweet 16,1,South Carolina,2017 South Carolina,12,Quinnipiac,2017 Quinnipiac,100,58,42,158,1
20173214,3214,2017,West,Sweet 16,3,Florida St.,2017 Florida St.,2,Oregon St.,2017 Oregon St.,66,53,13,119,1
20174215,4215,2017,West,Elite Eight,1,South Carolina,2017 South Carolina,3,Florida St.,2017 Florida St.,71,64,7,135,1
20171301,1301,2017,South,First Round,1,Notre Dame,2017 Notre Dame,16,Robert Morris,2017 Robert Morris,79,49,30,128,1
20171308,1308,2017,South,First Round,8,Green Bay,2017 Green Bay,9,Purdue,2017 Purdue,62,74,-12,136,0
20171306,1306,2017,South,First Round,5,Ohio St.,2017 Ohio St.,12,Western Kentucky,2017 Western Kentucky,70,63,7,133,1
20171304,1304,2017,South,First Round,4,Kentucky,2017 Kentucky,13,Belmont,2017 Belmont,73,70,3,143,1
20171303,1303,2017,South,First Round,6,North Carolina St.,2017 North Carolina St.,11,Auburn,2017 Auburn,62,48,14,110,1
20171305,1305,2017,South,First Round,3,Texas,2017 Texas,14,Central Arkansas,2017 Central Arkansas,78,50,28,128,1
20171307,1307,2017,South,First Round,7,Kansas St.,2017 Kansas St.,10,Drake,2017 Drake,67,54,13,121,1
20171302,1302,2017,South,First Round,2,Stanford,2017 Stanford,15,New Mexico St.,2017 New Mexico St.,72,64,8,136,1
20172309,2309,2017,South,Second Round,1,Notre Dame,2017 Notre Dame,9,Purdue,2017 Purdue,88,82,6,170,1
20172310,2310,2017,South,Second Round,5,Ohio St.,2017 Ohio St.,4,Kentucky,2017 Kentucky,82,68,14,150,1
20172311,2311,2017,South,Second Round,6,North Carolina St.,2017 North Carolina St.,3,Texas,2017 Texas,80,84,-4,164,0
20172312,2312,2017,South,Second Round,7,Kansas St.,2017 Kansas St.,2,Stanford,2017 Stanford,48,69,-21,117,0
20173313,3313,2017,South,Sweet 16,1,Notre Dame,2017 Notre Dame,5,Ohio St.,2017 Ohio St.,99,76,23,175,1
20173314,3314,2017,South,Sweet 16,3,Texas,2017 Texas,2,Stanford,2017 Stanford,66,77,-11,143,0
20174315,4315,2017,South,Elite Eight,1,Notre Dame,2017 Notre Dame,2,Stanford,2017 Stanford,75,76,-1,151,0
20171401,1401,2017,Midwest,First Round,1,Baylor,2017 Baylor,16,Texas Southern,2017 Texas Southern,119,30,89,149,1
20171408,1408,2017,Midwest,First Round,8,LSU,2017 LSU,9,California,2017 California,52,55,-3,107,0
20171406,1406,2017,Midwest,First Round,5,Tennessee,2017 Tennessee,12,Dayton,2017 Dayton,66,57,9,123,1
20171404,1404,2017,Midwest,First Round,4,Louisville,2017 Louisville,13,Chattanooga,2017 Chattanooga,82,62,20,144,1
20171403,1403,2017,Midwest,First Round,6,Oklahoma,2017 Oklahoma,11,Gonzaga,2017 Gonzaga,75,62,13,137,1
20171405,1405,2017,Midwest,First Round,3,Washington,2017 Washington,14,Montana St.,2017 Montana St.,91,63,28,154,1
20171407,1407,2017,Midwest,First Round,7,DePaul,2017 DePaul,10,Northern Iowa,2017 Northern Iowa,88,67,21,155,1
20171402,1402,2017,Midwest,First Round,2,Mississippi St.,2017 Mississippi St.,15,Troy,2017 Troy,110,69,41,179,1
20172409,2409,2017,Midwest,Second Round,1,Baylor,2017 Baylor,9,California,2017 California,86,46,40,132,1
20172410,2410,2017,Midwest,Second Round,5,Tennessee,2017 Tennessee,4,Louisville,2017 Louisville,64,75,-11,139,0
20172411,2411,2017,Midwest,Second Round,6,Oklahoma,2017 Oklahoma,3,Washington,2017 Washington,82,108,-26,190,0
20172412,2412,2017,Midwest,Second Round,7,DePaul,2017 DePaul,2,Mississippi St.,2017 Mississippi St.,71,92,-21,163,0
20173413,3413,2017,Midwest,Sweet 16,1,Baylor,2017 Baylor,4,Louisville,2017 Louisville,97,63,34,160,1
20173414,3414,2017,Midwest,Sweet 16,3,Washington,2017 Washington,2,Mississippi St.,2017 Mississippi St.,64,75,-11,139,0
20174415,4415,2017,Midwest,Elite Eight,1,Baylor,2017 Baylor,2,Mississippi St.,2017 Mississippi St.,85,94,-9,179,0
20175516,5516,2017,Final Four,Final Four,1,Connecticut,2017 Connecticut,2,Mississippi St.,2017 Mississippi St.,64,66,-2,130,0
20175517,5517,2017,Final Four,Final Four,2,Stanford,2017 Stanford,1,South Carolina,2017 South Carolina,53,62,-9,115,0
20175618,5618,2017,Final Four,Championship,2,Mississippi St.,2017 Mississippi St.,1,South Carolina,2017 South Carolina,55,67,-12,122,0
20181101,1101,2018,East,First Round,1,Connecticut,2018 Connecticut,16,St. Francis,2018 St. Francis,140,52,88,192,1
20181108,1108,2018,East,First Round,8,Miami FL,2018 Miami FL,9,Quinnipiac,2018 Quinnipiac,72,86,-14,158,0
20181106,1106,2018,East,First Round,5,Duke,2018 Duke,12,Belmont,2018 Belmont,72,58,14,130,1
20181104,1104,2018,East,First Round,4,Georgia,2018 Georgia,13,Mercer,2018 Mercer,68,63,5,131,1
20181103,1103,2018,East,First Round,6,South Florida,2018 South Florida,11,Buffalo,2018 Buffalo,79,102,-23,181,0
20181105,1105,2018,East,First Round,3,Florida St.,2018 Florida St.,14,Little Rock,2018 Little Rock,91,49,42,140,1
20181107,1107,2018,East,First Round,7,California,2018 California,10,Virginia,2018 Virginia,62,68,-6,130,0
20181102,1102,2018,East,First Round,2,South Carolina,2018 South Carolina,15,North Carolina A&T,2018 North Carolina A&T,63,52,11,115,1
20182109,2109,2018,East,Second Round,1,Connecticut,2018 Connecticut,9,Quinnipiac,2018 Quinnipiac,71,46,25,117,1
20182110,2110,2018,East,Second Round,5,Duke,2018 Duke,4,Georgia,2018 Georgia,66,40,26,106,1
20182111,2111,2018,East,Second Round,11,Buffalo,2018 Buffalo,3,Florida St.,2018 Florida St.,86,65,21,151,1
20182112,2112,2018,East,Second Round,10,Virginia,2018 Virginia,2,South Carolina,2018 South Carolina,56,66,-10,122,0
20183113,3113,2018,East,Sweet 16,1,Connecticut,2018 Connecticut,5,Duke,2018 Duke,72,59,13,131,1
20183114,3114,2018,East,Sweet 16,11,Buffalo,2018 Buffalo,2,South Carolina,2018 South Carolina,63,79,-16,142,0
20184115,4115,2018,East,Elite Eight,1,Connecticut,2018 Connecticut,2,South Carolina,2018 South Carolina,94,65,29,159,1
20181201,1201,2018,Midwest,First Round,1,Mississippi St.,2018 Mississippi St.,16,Nicholls St.,2018 Nicholls St.,95,50,45,145,1
20181208,1208,2018,Midwest,First Round,8,Syracuse,2018 Syracuse,9,Oklahoma St.,2018 Oklahoma St.,57,84,-27,141,0
