team_id,year,team,region,seed,finish,weekend,her_hoops_raw,her_hoops_id
2017 Connecticut,2017,Connecticut,East,1,Final Four,3,UConn,2017 UConn
2017 Duke,2017,Duke,East,2,Second Round,1,Duke,2017 Duke
2017 Maryland,2017,Maryland,East,3,Sweet 16,2,Maryland,2017 Maryland
2017 UCLA,2017,UCLA,East,4,Sweet 16,2,UCLA,2017 UCLA
2017 Texas A&M,2017,Texas A&M,East,5,Second Round,1,Texas A&M,2017 Texas A&M
2017 West Virginia,2017,West Virginia,East,6,Second Round,1,West Virginia,2017 West Virginia
2017 Temple,2017,Temple,East,7,First Round,1,Temple,2017 Temple
2017 Syracuse,2017,Syracuse,East,8,Second Round,1,Syracuse,2017 Syracuse
2017 Iowa St.,2017,Iowa St.,East,9,First Round,1,Iowa St.,2017 Iowa St.
2017 Oregon,2017,Oregon,East,10,Elite Eight,2,Oregon,2017 Oregon
2017 Elon,2017,Elon,East,11,First Round,1,Elon,2017 Elon
2017 Penn,2017,Penn,East,12,First Round,1,Penn,2017 Penn
2017 Boise St.,2017,Boise St.,East,13,First Round,1,Boise St.,2017 Boise St.
2017 Bucknell,2017,Bucknell,East,14,First Round,1,Bucknell,2017 Bucknell
2017 Hampton,2017,Hampton,East,15,First Round,1,Hampton,2017 Hampton
2017 Albany,2017,Albany,East,16,First Round,1,UAlbany,2017 UAlbany
2017 Baylor,2017,Baylor,South,1,Elite Eight,2,Baylor,2017 Baylor
2017 Mississippi St.,2017,Mississippi St.,South,2,Runner Up,3,Mississippi St.,2017 Mississippi St.
2017 Washington,2017,Washington,South,3,Sweet 16,2,Washington,2017 Washington
2017 Louisville,2017,Louisville,South,4,Sweet 16,2,Louisville,2017 Louisville
2017 Tennessee,2017,Tennessee,South,5,Second Round,1,Tennessee,2017 Tennessee
2017 Oklahoma,2017,Oklahoma,South,6,Second Round,1,Oklahoma,2017 Oklahoma
2017 DePaul,2017,DePaul,South,7,Second Round,1,DePaul,2017 DePaul
2017 LSU,2017,LSU,South,8,First Round,1,LSU,2017 LSU
2017 California,2017,California,South,9,Second Round,1,California,2017 California
2017 Northern Iowa,2017,Northern Iowa,South,10,First Round,1,UNI,2017 UNI
2017 Gonzaga,2017,Gonzaga,South,11,First Round,1,Gonzaga,2017 Gonzaga
2017 Dayton,2017,Dayton,South,12,First Round,1,Dayton,2017 Dayton
2017 Chattanooga,2017,Chattanooga,South,13,First Round,1,Chattanooga,2017 Chattanooga
2017 Montana St.,2017,Montana St.,South,14,First Round,1,Montana St.,2017 Montana St.
2017 Troy,2017,Troy,South,15,First Round,1,Troy,2017 Troy
2017 Texas Southern,2017,Texas Southern,South,16,First Round,1,Texas Southern,2017 Texas Southern
2017 Notre Dame,2017,Notre Dame,Midwest,1,Elite Eight,2,Notre Dame,2017 Notre Dame
2017 Stanford,2017,Stanford,Midwest,2,Final Four,3,Stanford,2017 Stanford
2017 Texas,2017,Texas,Midwest,3,Sweet 16,2,Texas,2017 Texas
2017 Kentucky,2017,Kentucky,Midwest,4,Second Round,1,Kentucky,2017 Kentucky
2017 Ohio St.,2017,Ohio St.,Midwest,5,Sweet 16,2,Ohio St.,2017 Ohio St.
2017 North Carolina St.,2017,North Carolina St.,Midwest,6,Second Round,1,NC State,2017 NC State
2017 Kansas St.,2017,Kansas St.,Midwest,7,Second Round,1,Kansas St.,2017 Kansas St.
2017 Green Bay,2017,Green Bay,Midwest,8,First Round,1,Green Bay,2017 Green Bay
2017 Purdue,2017,Purdue,Midwest,9,Second Round,1,Purdue,2017 Purdue
2017 Drake,2017,Drake,Midwest,10,First Round,1,Drake,2017 Drake
2017 Auburn,2017,Auburn,Midwest,11,First Round,1,Auburn,2017 Auburn
2017 Western Kentucky,2017,Western Kentucky,Midwest,12,First Round,1,Western Ky.,2017 Western Ky.
2017 Belmont,2017,Belmont,Midwest,13,First Round,1,Belmont,2017 Belmont
2017 Central Arkansas,2017,Central Arkansas,Midwest,14,First Round,1,Central Ark.,2017 Central Ark.
2017 New Mexico St.,2017,New Mexico St.,Midwest,15,First Round,1,New Mexico St.,2017 New Mexico St.
2017 Robert Morris,2017,Robert Morris,Midwest,16,First Round,1,Robert Morris,2017 Robert Morris
2017 South Carolina,2017,South Carolina,West,1,Champion,3,South Carolina,2017 South Carolina
2017 Oregon St.,2017,Oregon St.,West,2,Sweet 16,2,Oregon St.,2017 Oregon St.
2017 Florida St.,2017,Florida St.,West,3,Elite Eight,2,Florida St.,2017 Florida St.
2017 Miami FL,2017,Miami FL,West,4,Second Round,1,Miami (FL),2017 Miami (FL)
2017 Marquette,2017,Marquette,West,5,First Round,1,Marquette,2017 Marquette
2017 Missouri,2017,Missouri,West,6,Second Round,1,Missouri,2017 Missouri
2017 Creighton,2017,Creighton,West,7,Second Round,1,Creighton,2017 Creighton
2017 Arizona St.,2017,Arizona St.,West,8,Second Round,1,Arizona St.,2017 Arizona St.
2017 Michigan St.,2017,Michigan St.,West,9,First Round,1,Michigan St.,2017 Michigan St.
2017 Toledo,2017,Toledo,West,10,First Round,1,Toledo,2017 Toledo
2017 South Florida,2017,South Florida,West,11,First Round,1,South Fla.,2017 South Fla.
2017 Quinnipiac,2017,Quinnipiac,West,12,Sweet 16,1,Quinnipiac,2017 Quinnipiac
2017 Florida Gulf Coast,2017,Florida Gulf Coast,West,13,First Round,1,FGCU,2017 FGCU
