SEASON,Team,PPP,ppsa,EFG%,FT Rate,3P Rate,% Pts FT,% Pts 2P,% Pts 3P,ORB%,DRB%,TRB%,AST%,TOV%,AST/TOV,STL%,BLK%,PF%,her_hoops_id
2024,South Carolina,0.96,1.13,0.542,0.149,0.222,0.149,0.617,0.234,0.405,0.719,0.578,0.559,0.146,1.42,0.101,0.18,0.165,2024 South Carolina
2024,Iowa,1.03,1.22,0.579,0.206,0.389,0.17,0.47,0.36,0.312,0.731,0.541,0.644,0.156,1.51,0.084,0.082,0.163,2024 Iowa
2024,Texas,0.93,1.1,0.522,0.164,0.147,0.188,0.666,0.146,0.42,0.725,0.575,0.528,0.159,1.18,0.108,0.123,0.212,2024 Texas
2024,Gonzaga,0.98,1.17,0.557,0.162,0.346,0.15,0.499,0.35,0.389,0.726,0.564,0.665,0.163,1.47,0.098,0.087,0.181,2024 Gonzaga
2024,UConn,0.97,1.15,0.55,0.147,0.288,0.143,0.588,0.269,0.309,0.725,0.536,0.636,0.159,1.49,0.122,0.106,0.179,2024 UConn
2024,LSU,0.91,1.08,0.495,0.195,0.168,0.234,0.614,0.152,0.434,0.714,0.58,0.528,0.162,1.06,0.118,0.134,0.182,2024 LSU
2024,NC State,0.88,1.02,0.474,0.172,0.263,0.192,0.556,0.252,0.292,0.75,0.533,0.503,0.144,1.11,0.079,0.1,0.152,2024 NC State
2024,Middle Tenn.,0.92,1.09,0.509,0.196,0.375,0.182,0.461,0.357,0.311,0.712,0.524,0.527,0.153,1.11,0.089,0.133,0.194,2024 Middle Tenn.
2024,Fairfield,0.88,1.11,0.534,0.171,0.408,0.134,0.501,0.364,0.331,0.715,0.531,0.635,0.21,0.99,0.111,0.072,0.234,2024 Fairfield
2024,Stanford,0.93,1.1,0.521,0.149,0.301,0.152,0.564,0.284,0.386,0.742,0.58,0.626,0.15,1.47,0.065,0.123,0.184,2024 Stanford
2024,UNLV,0.96,1.11,0.524,0.142,0.307,0.145,0.559,0.296,0.319,0.792,0.562,0.525,0.127,1.51,0.089,0.058,0.177,2024 UNLV
2024,Cleveland St.,0.9,1.1,0.511,0.204,0.221,0.216,0.563,0.22,0.322,0.719,0.53,0.509,0.177,0.92,0.114,0.079,0.191,2024 Cleveland St.
2024,Drake,0.94,1.18,0.556,0.195,0.358,0.173,0.522,0.305,0.318,0.751,0.555,0.677,0.204,1.12,0.104,0.11,0.163,2024 Drake
2024,Richmond,0.96,1.18,0.557,0.195,0.388,0.17,0.455,0.375,0.246,0.68,0.494,0.6,0.188,1.08,0.074,0.149,0.17,2024 Richmond
2024,Southern California,0.89,1.04,0.485,0.179,0.303,0.187,0.503,0.31,0.327,0.717,0.521,0.56,0.144,1.23,0.098,0.147,0.197,2024 Southern California
2024,Stony Brook,0.85,1.05,0.489,0.172,0.309,0.181,0.527,0.292,0.329,0.721,0.541,0.555,0.188,0.91,0.09,0.082,0.172,2024 Stony Brook
2024,California Baptist,0.89,1.06,0.491,0.211,0.393,0.189,0.448,0.363,0.258,0.728,0.501,0.682,0.157,1.33,0.107,0.043,0.205,2024 California Baptist
2024,Saint Joseph's,0.87,1.06,0.494,0.142,0.286,0.163,0.564,0.273,0.311,0.712,0.525,0.605,0.175,1.13,0.073,0.076,0.172,2024 Saint Joseph's
2024,Notre Dame,0.9,1.07,0.498,0.15,0.217,0.176,0.61,0.214,0.341,0.704,0.527,0.549,0.16,1.16,0.129,0.111,0.185,2024 Notre Dame
2024,Eastern Wash.,0.84,0.99,0.464,0.135,0.313,0.147,0.542,0.311,0.314,0.715,0.508,0.524,0.144,1.15,0.108,0.065,0.178,2024 Eastern Wash.
2024,FGCU,0.91,1.09,0.515,0.235,0.434,0.181,0.449,0.37,0.342,0.743,0.537,0.568,0.169,1.06,0.122,0.068,0.207,2024 FGCU
2024,Ball St.,0.89,1.08,0.508,0.199,0.367,0.174,0.496,0.331,0.268,0.715,0.49,0.591,0.175,1.07,0.127,0.089,0.195,2024 Ball St.
2024,Oregon St.,0.91,1.11,0.531,0.161,0.34,0.144,0.528,0.329,0.286,0.746,0.549,0.667,0.176,1.29,0.056,0.1,0.169,2024 Oregon St.
2024,Toledo,0.89,1.06,0.496,0.171,0.3,0.176,0.542,0.281,0.299,0.741,0.519,0.618,0.161,1.25,0.089,0.079,0.192,2024 Toledo
2024,UCLA,0.88,1.06,0.5,0.16,0.3,0.165,0.564,0.272,0.412,0.777,0.595,0.614,0.172,1.17,0.097,0.12,0.22,2024 UCLA
2024,Chattanooga,0.89,1.08,0.501,0.188,0.29,0.196,0.51,0.294,0.229,0.736,0.498,0.424,0.173,0.77,0.077,0.051,0.223,2024 Chattanooga
2024,Baylor,0.86,1.06,0.503,0.155,0.321,0.146,0.549,0.305,0.348,0.755,0.55,0.644,0.181,1.15,0.111,0.064,0.204,2024 Baylor
2024,Belmont,0.89,1.09,0.514,0.2,0.355,0.176,0.485,0.339,0.282,0.705,0.503,0.63,0.182,1.09,0.1,0.094,0.197,2024 Belmont
2024,Creighton,0.95,1.11,0.52,0.151,0.376,0.148,0.487,0.365,0.276,0.728,0.509,0.646,0.14,1.6,0.084,0.09,0.191,2024 Creighton
2024,Indiana,1,1.2,0.576,0.177,0.319,0.155,0.529,0.316,0.257,0.747,0.525,0.628,0.164,1.42,0.079,0.103,0.194,2024 Indiana
2024,Kansas St.,0.88,1.07,0.51,0.161,0.304,0.151,0.58,0.268,0.274,0.749,0.525,0.682,0.174,1.31,0.106,0.129,0.189,2024 Kansas St.
2024,Norfolk St.,0.8,0.96,0.445,0.15,0.254,0.178,0.572,0.25,0.349,0.701,0.515,0.51,0.166,0.91,0.156,0.1,0.214,2024 Norfolk St.
2024,Green Bay,0.96,1.12,0.53,0.16,0.3,0.163,0.567,0.27,0.298,0.731,0.524,0.683,0.142,1.73,0.1,0.066,0.171,2024 Green Bay
