SEASON,Team,G,win,loss,HHS Rtg,HHS Off Rtg,HHS Def Rtg,Opp Avg Net Rtg,Opp Avg Off Rtg,Opp Avg Def Rtg,Opp Avg Pace,Opp Avg Win %,Opp Opp Avg Win %,Simple RPI,her_hoops_id
2017,UConn,37,36,1,60.3,128.8,68.5,7.9,97.3,89.4,70.7,0.63,0.567,0.7,2017 UConn
2017,Mississippi St.,39,34,5,42.9,116.8,73.9,8.9,98.3,89.3,70.3,0.621,0.57,0.671,2017 Mississippi St.
2017,South Carolina,37,33,4,44.4,118.3,73.9,9.1,97.3,88.3,69.8,0.631,0.579,0.683,2017 South Carolina
2017,Notre Dame,37,33,4,43.8,120.4,76.7,10.5,99.1,88.6,70.6,0.644,0.563,0.686,2017 Notre Dame
2017,Baylor,37,33,4,54.5,124.1,69.6,4.5,95.9,91.4,72.2,0.571,0.562,0.649,2017 Baylor
2017,Maryland,35,32,3,42.2,121.1,78.9,2.1,95,92.9,70.8,0.514,0.55,0.623,2017 Maryland
2017,Stanford,38,32,6,36.6,112.5,75.9,7.8,97,89.2,70.2,0.625,0.568,0.665,2017 Stanford
2017,Oregon St.,36,31,5,30.9,108.1,77.2,6.8,96.3,89.5,70.8,0.61,0.561,0.66,2017 Oregon St.
2017,Washington,35,29,6,40.7,121,80.4,4.8,95.1,90.3,70.4,0.591,0.561,0.643,2017 Washington
2017,Louisville,37,29,8,35.4,112.5,77.1,8.5,98.8,90.3,70,0.613,0.56,0.642,2017 Louisville
2017,Quinnipiac,36,29,7,19.5,101,81.4,0.6,91.5,90.9,68.8,0.521,0.496,0.586,2017 Quinnipiac
2017,Duke,34,28,6,37.2,111.3,74.1,5.1,96.1,91,70.2,0.584,0.562,0.639,2017 Duke
2017,Florida St.,35,28,7,41.7,115.6,73.9,7.3,96.8,89.6,70.4,0.617,0.556,0.648,2017 Florida St.
2017,Michigan,37,28,9,29.6,111.2,81.6,2.4,94.9,92.6,71,0.534,0.537,0.59,2017 Michigan
2017,Ohio St.,35,28,7,29.5,113.3,83.8,4.9,96.7,91.8,71.1,0.559,0.549,0.617,2017 Ohio St.
2017,Bucknell,33,27,6,15.5,102.5,87,-2,89.3,91.3,69.1,0.44,0.485,0.546,2017 Bucknell
2017,DePaul,35,27,8,29.2,111.7,82.4,4.7,96.7,91.9,69.2,0.574,0.54,0.615,2017 DePaul
2017,Drake,32,27,5,23.2,110.3,87.1,-2.2,90.9,93.1,69.2,0.487,0.506,0.581,2017 Drake
2017,Western Ky.,34,27,7,27.5,114,86.5,0.8,94.6,93.9,71.1,0.507,0.504,0.578,2017 Western Ky.
2017,Green Bay,33,27,6,32.8,110.3,77.5,0.1,94.4,94.4,70.5,0.514,0.492,0.585,2017 Green Bay
2017,Elon,33,26,7,20.4,104.3,83.9,1.8,92.2,90.5,68.9,0.528,0.517,0.59,2017 Elon
2017,Belmont,32,26,6,20.4,110.2,89.8,-2.7,92.3,95,71.1,0.452,0.486,0.55,2017 Belmont
2017,James Madison,35,26,9,19.4,103.6,84.3,1.2,91.3,90.1,68.1,0.525,0.522,0.579,2017 James Madison
2017,Gonzaga,33,26,7,23.6,106.3,82.7,-1.7,91.7,93.5,71.3,0.461,0.51,0.555,2017 Gonzaga
2017,Texas,34,25,9,32.9,110.4,77.5,9.3,98.9,89.6,71.5,0.614,0.563,0.632,2017 Texas
2017,Saint Louis,34,25,9,18.9,105.5,86.7,-2.5,89.9,92.5,68.6,0.461,0.506,0.541,2017 Saint Louis
2017,Marquette,33,25,8,22.4,111.3,89,2.8,94.3,91.5,69.4,0.549,0.533,0.597,2017 Marquette
2017,New Hampshire,31,25,6,8,95.5,87.5,-4,87.4,91.4,68.3,0.435,0.488,0.541,2017 New Hampshire
2017,UCLA,34,25,9,31.2,111,79.8,9.4,98,88.6,70.4,0.622,0.57,0.637,2017 UCLA
2017,Little Rock,34,25,9,14.4,99.2,84.8,-0.7,90.7,91.4,70.7,0.501,0.499,0.559,2017 Little Rock
2017,FGCU,33,24,9,19.7,103.5,83.8,-3.9,88.7,92.6,70.3,0.475,0.481,0.539,2017 FGCU
2017,South Fla.,33,24,9,21.9,108,86.1,2.8,92.8,90,70.4,0.553,0.541,0.593,2017 South Fla.
2017,Temple,32,24,8,21.2,104.8,83.6,2.6,92.8,90.2,69.3,0.555,0.544,0.601,2017 Temple
2017,Rider,33,24,9,7,94.3,87.2,-3.5,88.3,91.7,69,0.442,0.49,0.525,2017 Rider
2017,West Virginia,35,24,11,27.2,108,80.7,5.1,95.2,90.1,72.3,0.557,0.542,0.586,2017 West Virginia
2017,Western Ill.,31,24,7,17.1,106.1,89,-2.1,95.1,97.2,68.9,0.453,0.503,0.546,2017 Western Ill.
2017,Miami (FL),33,24,9,25,107.1,82.1,6.7,95.9,89.2,70.9,0.6,0.557,0.621,2017 Miami (FL)
2017,Toledo,33,24,9,16.6,98.9,82.3,1,94.2,93.2,72.1,0.519,0.511,0.569,2017 Toledo
2017,UC Davis,32,24,8,14,101.3,87.3,-2.1,91.7,93.8,69.9,0.471,0.496,0.547,2017 UC Davis
2017,Creighton,32,24,8,19.6,104.7,85.1,2.2,95.1,92.9,69.4,0.547,0.54,0.596,2017 Creighton
2017,Montana St.,30,23,7,10.9,98.9,87.9,-2.1,92.4,94.4,71.6,0.455,0.49,0.542,2017 Montana St.
2017,NC State,32,23,9,25.5,107.4,81.8,3,93.3,90.2,70.4,0.542,0.556,0.59,2017 NC State
2017,Navy,33,23,10,10.5,98.2,87.7,-1.9,89.1,90.9,69.6,0.452,0.484,0.521,2017 Navy
2017,South Dakota St.,32,23,9,22.2,106.8,84.7,1.1,95.5,94.4,69.4,0.521,0.508,0.567,2017 South Dakota St.
2017,Oklahoma,33,23,10,20.8,104.9,84.2,7.8,97.7,89.9,71.1,0.59,0.552,0.607,2017 Oklahoma
2017,Oregon,37,23,14,25.1,109.9,84.8,8.8,98,89.2,70.9,0.623,0.565,0.608,2017 Oregon
2017,Boise St.,31,23,8,11,99.5,88.5,0.7,91.6,90.9,70,0.498,0.504,0.56,2017 Boise St.
2017,Central Mich.,32,23,9,18.1,109,90.9,0.6,93.5,92.9,71.5,0.51,0.505,0.561,2017 Central Mich.
2017,Indiana,34,23,11,24.9,109.9,85,3.1,95.5,92.3,70.3,0.54,0.535,0.573,2017 Indiana
2017,Stetson,30,23,7,11.6,99.9,88.3,-4.7,88.4,93.1,69.8,0.431,0.475,0.526,2017 Stetson
2017,Colorado St.,32,23,9,16.6,99.5,82.9,-0.8,92.2,93,70.3,0.494,0.504,0.553,2017 Colorado St.
2017,Purdue,36,23,13,23.4,105.2,81.8,4.8,97.1,92.3,70.8,0.564,0.538,0.576,2017 Purdue
2017,Wright St.,32,23,9,9.7,99.2,89.5,-4.3,91.5,95.8,70.5,0.421,0.495,0.514,2017 Wright St.
2017,Kansas St.,34,23,11,24.3,105.7,81.4,9.4,98.9,89.5,71.5,0.593,0.561,0.606,2017 Kansas St.
2017,UNI,32,23,9,16.8,101.9,85.1,-1.4,92.3,93.7,69.7,0.501,0.501,0.555,2017 UNI
2017,Middle Tenn.,34,23,11,18.5,106.2,87.7,1.5,95,93.5,70.1,0.515,0.514,0.555,2017 Middle Tenn.
2017,Mercer,29,22,7,11,98.4,87.3,-3.9,89.6,93.5,67.7,0.433,0.503,0.532,2017 Mercer
2017,Milwaukee,34,22,12,10.7,102.9,92.2,-3.6,91.3,94.9,70.8,0.446,0.487,0.506,2017 Milwaukee
2017,Georgia Tech,37,22,15,18.4,102.5,84.1,6.5,95.4,88.9,70.1,0.598,0.55,0.585,2017 Georgia Tech
2017,IU Indy,31,22,9,16.8,102.9,86.1,-0.2,95.1,95.3,69.2,0.491,0.498,0.548,2017 IU Indy
2017,Fordham,34,22,12,10.9,98.4,87.5,0.5,91,90.6,68.7,0.494,0.51,0.536,2017 Fordham
2017,Missouri,33,22,11,20.9,106.5,85.7,7.6,97.8,90.2,69.9,0.601,0.55,0.605,2017 Missouri
2017,New Mexico St.,29,22,7,10.7,99.3,88.6,-4.2,90.1,94.3,69.6,0.406,0.479,0.513,2017 New Mexico St.
2017,Alabama,36,22,14,15.6,99.2,83.6,1.1,92.4,91.3,70.5,0.513,0.548,0.547,2017 Alabama
2017,Ohio,32,22,10,15.7,101.6,85.9,0.2,93.9,93.7,71.9,0.495,0.502,0.545,2017 Ohio
2017,Buffalo,32,22,10,13,98.7,85.7,-0.7,91.9,92.6,70.9,0.485,0.505,0.541,2017 Buffalo
2017,Central Ark.,27,22,5,13.3,101.1,87.8,-5.5,89.6,95.1,71.9,0.423,0.477,0.534,2017 Central Ark.
2017,Radford,31,22,9,5.8,92.7,86.9,-5.1,88.3,93.3,68.3,0.416,0.472,0.504,2017 Radford
2017,SFA,30,22,8,12.7,100.8,88.1,-3.5,91,94.5,70.4,0.458,0.459,0.527,2017 SFA
2017,Southern Miss.,33,22,11,14.4,101.9,87.4,-0.5,93.3,93.8,69.9,0.49,0.503,0.537,2017 Southern Miss.
2017,St. John's (NY),34,22,12,15.3,98.4,83,1.9,94,92.1,68.8,0.544,0.538,0.568,2017 St. John's (NY)
2017,Syracuse,33,22,11,28.5,111.1,82.6,6.4,96.5,90.1,70.4,0.575,0.557,0.594,2017 Syracuse
2017,Texas A&M,34,22,12,23.9,109.3,85.4,7.9,96.5,88.6,70.1,0.614,0.556,0.608,2017 Texas A&M
2017,Texas Southern,32,22,10,-2.6,87.8,90.4,-7.9,84.3,92.2,72,0.393,0.459,0.483,2017 Texas Southern
2017,Dayton,32,22,10,18.3,102.1,83.8,4,93.3,89.3,69.1,0.549,0.518,0.576,2017 Dayton
2017,Drexel,33,22,11,18.8,105.2,86.4,-1.3,90.6,91.9,69.1,0.493,0.517,0.542,2017 Drexel
2017,Kentucky,33,22,11,27.2,109.9,82.6,9.5,97.6,88.2,70.2,0.653,0.56,0.633,2017 Kentucky
2017,Long Beach St.,33,22,11,7.7,98.2,90.5,-1.5,91.9,93.4,69.9,0.471,0.495,0.526,2017 Long Beach St.
2017,Northern Colo.,29,21,8,11.7,100.6,89,-2.7,91.9,94.6,72.2,0.432,0.486,0.519,2017 Northern Colo.
2017,NIU,33,21,12,12.5,107.1,94.6,0.5,94,93.6,71.3,0.516,0.497,0.541,2017 NIU
2017,Michigan St.,33,21,12,20.1,105.8,85.7,4.3,96.4,92.1,71.2,0.555,0.546,0.573,2017 Michigan St.
2017,Harvard,30,21,9,10.8,98,87.2,1.7,91,89.3,68.4,0.532,0.498,0.565,2017 Harvard
2017,Army West Point,30,21,9,9.6,95.9,86.3,-5.1,87.2,92.3,69.4,0.405,0.476,0.497,2017 Army West Point
2017,South Dakota,30,21,9,17.5,108.1,90.6,-0.9,95.3,96.2,69.6,0.477,0.501,0.539,2017 South Dakota
